Magma V2.29-6     Fri May 29 2026 13:45:51 on Chatchawans-Laptop-2 [Seed = 
1596719953]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "supplementary/code/verify_theorem_magma.m"
# Exact Magma verification for p<q, p,q == 5 mod 8, pq <= 30000
# Magma version: V2.29-6 in the recorded run
# Proof settings: Magma defaults; this script sets no GRH or conditional class-group flag
# Columns: p,q,D,leg,q4pq,q4qp,h,hplus,v2hplus,epsnorm,isPrincipalP,isPrincipalQ,wideInv,narrowInv,narrowTwoInv
5,1373,6865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1381,6905,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,1429,7145,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,1453,7265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1493,7465,-1,0,0,18,18,1,-1,0,0,"[ 18 ]","[ 18 ]","[ 2 ]"
5,1549,7745,1,-1,-1,12,12,2,-1,0,0,"[ 12 ]","[ 12 ]","[ 4 ]"
5,1597,7985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1613,8065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1621,8105,1,1,1,8,16,4,1,1,1,"[ 8 ]","[ 16 ]","[ 16 ]"
5,1637,8185,-1,0,0,14,14,1,-1,0,0,"[ 14 ]","[ 14 ]","[ 2 ]"
5,1669,8345,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,1693,8465,-1,0,0,14,14,1,-1,0,0,"[ 14 ]","[ 14 ]","[ 2 ]"
5,1709,8545,1,-1,-1,12,12,2,-1,0,0,"[ 12 ]","[ 12 ]","[ 4 ]"
5,1733,8665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1741,8705,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,1789,8945,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,1861,9305,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
5,1877,9385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1901,9505,1,-1,1,14,28,2,1,1,1,"[ 14 ]","[ 28 ]","[ 4 ]"
5,1933,9665,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1949,9745,1,1,-1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,1973,9865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,1997,9985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2029,10145,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,2053,10265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2069,10345,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,2141,10705,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2213,11065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2221,11105,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2237,11185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2269,11345,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2293,11465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2309,11545,1,1,-1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,2333,11665,-1,0,0,30,30,1,-1,0,0,"[ 30 ]","[ 30 ]","[ 2 ]"
5,2341,11705,1,-1,1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,2357,11785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2381,11905,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2389,11945,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,2437,12185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2477,12385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2549,12745,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2557,12785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2621,13105,1,1,1,16,16,4,-1,0,0,"[ 16 ]","[ 16 ]","[ 16 ]"
5,2677,13385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2693,13465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2741,13705,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2749,13745,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2789,13945,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,2797,13985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2837,14185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,2861,14305,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
